Rama del Derecho,Pregunta,Respuesta
Derecho Constitucional,¿Qué es el Derecho Constitucional?,Es la rama del derecho público que estudia la estructura del Estado y los derechos fundamentales.
Derecho Constitucional,¿Cuál es la función de la Constitución Nacional?,Establecer la organización del Estado y garantizar los derechos de los ciudadanos.
Derecho Constitucional,¿Qué órgano controla la constitucionalidad de las leyes?,"El Poder Judicial, a través de la Corte Suprema."
Derecho Constitucional,¿Qué derechos protege la Constitución?,"Los derechos civiles, políticos, sociales y económicos."
Derecho Constitucional,¿Qué es un estado de sitio?,Es una medida excepcional que restringe libertades durante situaciones de emergencia.
Derecho Constitucional,¿Qué es la supremacía constitucional?,La Constitución es la norma suprema y prevalece sobre cualquier otra ley.
Derecho Constitucional,¿Qué es el control de constitucionalidad?,Es el mecanismo para asegurar que las leyes se ajusten a la Constitución.
Derecho Constitucional,¿Qué es la reforma constitucional?,Es el proceso para modificar el texto de la Constitución.
Derecho Constitucional,¿Cuáles son los principios republicanos?,"División de poderes, elecciones periódicas y responsabilidad de los gobernantes."
Derecho Constitucional,¿Qué establece el artículo 14?,"Reconoce derechos civiles como trabajar, enseñar, aprender, profesar un culto, entre otros."
Derecho Constitucional,¿Qué son los tratados internacionales en la Constitución?,Tienen jerarquía constitucional si están incorporados por el Congreso.
Derecho Constitucional,¿Cuál es la función del Preámbulo?,Establece los fines y valores fundamentales de la Constitución.
Derecho Constitucional,¿Qué es el federalismo?,Es la organización del Estado con autonomía para las provincias.
Derecho Constitucional,¿Qué establece el artículo 19?,Que las acciones privadas que no perjudiquen a terceros están fuera del alcance de la ley.
Derecho Constitucional,¿Qué significa la inviolabilidad del domicilio?,Nadie puede entrar a tu casa sin orden judicial.
Derecho Administrativo,¿Qué regula el Derecho Administrativo?,Las relaciones entre los ciudadanos y la administración pública.
Derecho Administrativo,¿Qué es un acto administrativo?,Es una decisión tomada por la administración con efectos jurídicos.
Derecho Administrativo,¿Qué es el principio de legalidad?,La administración solo puede actuar conforme a la ley.
Derecho Administrativo,¿Qué es la función pública?,El conjunto de actividades al servicio del interés general realizadas por agentes públicos.
Derecho Administrativo,¿Qué es el procedimiento administrativo?,Es el proceso legal para dictar actos administrativos.
Derecho Administrativo,¿Qué es la responsabilidad del Estado?,El Estado debe reparar daños causados por su accionar ilegítimo.
Derecho Administrativo,¿Qué es el poder de policía?,La facultad estatal de limitar derechos para el bienestar general.
Derecho Administrativo,¿Qué son los recursos administrativos?,Medios para impugnar actos administrativos sin ir a la justicia.
Derecho Administrativo,¿Qué es la descentralización administrativa?,Distribución del poder entre órganos o entes autónomos.
Derecho Administrativo,¿Qué es la delegación de funciones?,Transferencia de funciones administrativas a otro órgano.
Derecho Administrativo,¿Qué es un contrato administrativo?,Un acuerdo entre el Estado y un particular con régimen especial.
Derecho Administrativo,¿Qué son los entes autárquicos?,Organismos que tienen autonomía funcional y financiera.
Derecho Administrativo,¿Qué es la expropiación?,Es la privación legal de la propiedad por utilidad pública con indemnización.
Derecho Administrativo,¿Qué es la licitación pública?,Es el procedimiento para contratar obras o servicios con transparencia.
Derecho Administrativo,¿Qué es la nulidad de un acto administrativo?,Es su invalidez por contradecir la ley.
